    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 322194 nathan37  20   0  235308   4972   3776 R   0.3   0.0   0:00.29 top
      1 root      20   0  176612  19328  11352 S   0.2   0.1   2:07.38 systemd
   1375 root      20   0  908576  23576  11516 S   0.2   0.1   0:27.05 fail2ban-server
   1920 zabbix    20   0 2436588  35748  19576 S   0.2   0.1   1:38.15 zabbix_agent2
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 296021 nathan37  20   0  235160   7468   4380 S   6.0   0.0   1:31.97 htop
 308004 nathan37  20   0  235136   7468   4360 S   5.9   0.0   0:50.68 htop
 248687 nathan37  20   0 6492060 361204 145908 S   2.3   1.5   4:50.25 gnome-shell
 248116 nathan37  20   0 4183092 194860  62144 S   0.7   0.8   2:08.00 Xorg
   1076 root      20   0 2694144 667708 347620 S   0.6   2.7  11:43.25 falcon-sensor-b
   2282 root      20   0 1573228  97672  17964 S   0.5   0.4   4:09.09 /opt/saltstack/
   1337 fastx     20   0   11.0g 201036  36612 S   0.3   0.8   3:28.40 fastx3
 249456 nathan37  20   0  712760  54544  39504 S   0.3   0.2   0:17.64 gnome-terminal-
 254213 nathan37  20   0 1395.9g 449844 177368 S   0.3   1.9   1:06.78 code
 254532 nathan37  20   0 1409.9g 117896  81656 S   0.3   0.5   0:08.04 code
   1920 zabbix    20   0 2436588  36272  19576 S   0.2   0.1   1:38.17 zabbix_agent2
 249033 nathan37  20   0  397880  40356  33360 S   0.2   0.2   0:04.94 vmtoolsd
   1670 apache    20   0 2442880   8428   4476 S   0.1   0.0   0:06.79 httpd
 249191 nathan37  20   0 2506116 102012  63148 S   0.1   0.4   0:00.97 xdg-desktop-por
 253950 nathan37  20   0 1394.1g 211096 136632 S   0.1   0.9   0:10.44 code
 254147 nathan37  20   0   33.1g 252568 146660 S   0.1   1.0   3:11.58 code
 254432 nathan37  20   0 1393.9g 127104  82740 S   0.1   0.5   0:03.98 code
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 296021 nathan37  20   0  235160   7468   4380 S   7.0   0.0   1:32.67 htop
 308004 nathan37  20   0  235136   7468   4360 S   6.0   0.0   0:51.28 htop
 248687 nathan37  20   0 6492060 361204 145908 S   1.8   1.5   4:50.43 gnome-shell
   1076 root      20   0 2694144 667600 347620 S   0.5   2.7  11:43.30 falcon-sensor-b
   2282 root      20   0 1573228  97672  17964 S   0.5   0.4   4:09.14 /opt/saltstack/
 248116 nathan37  20   0 4183092 194860  62144 S   0.5   0.8   2:08.05 Xorg
   1337 fastx     20   0   11.0g 200668  36612 S   0.4   0.8   3:28.44 fastx3
 254213 nathan37  20   0 1395.9g 449560 177368 S   0.3   1.8   1:06.81 code
   1168 root      20   0  460996  12516   8020 S   0.2   0.1   0:28.82 vmtoolsd
   1639 splunkf+  20   0  429724 214156  66792 S   0.2   0.9   1:28.63 splunkd
 249456 nathan37  20   0  712760  54664  39504 S   0.2   0.2   0:17.66 gnome-terminal-
 254532 nathan37  20   0 1409.9g 117896  81656 S   0.2   0.5   0:08.06 code
 322194 nathan37  20   0  235308   4972   3776 R   0.2   0.0   0:00.32 top
     63 root      20   0       0      0      0 S   0.1   0.0   0:00.25 ksoftirqd/7
   1375 root      20   0  908576  23576  11516 S   0.1   0.1   0:27.06 fail2ban-server
   1920 zabbix    20   0 2436588  36428  19576 S   0.1   0.1   1:38.18 zabbix_agent2
 249033 nathan37  20   0  397880  40356  33360 S   0.1   0.2   0:04.95 vmtoolsd
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
